#       omega                  E                         P                            alpha             
    -1.75976e+02     1.486505e+00-2.959273e-05j   5.352688e+02+1.317134e+03j            8.860681e+02          
    -1.75576e+02     1.498616e+00-3.027982e-05j   5.420378e+02+1.325982e+03j            8.848112e+02          
    -1.75175e+02     1.510799e+00-3.095542e-05j   5.488683e+02+1.334875e+03j            8.835632e+02          
    -1.74775e+02     1.523053e+00-3.161924e-05j   5.557606e+02+1.343814e+03j            8.823240e+02          
    -1.74374e+02     1.535377e+00-3.227101e-05j   5.627150e+02+1.352799e+03j            8.810937e+02          
    -1.73974e+02     1.547773e+00-3.291049e-05j   5.697319e+02+1.361830e+03j            8.798722e+02          
    -1.73574e+02     1.560240e+00-3.353740e-05j   5.768117e+02+1.370907e+03j            8.786593e+02          
    -1.73173e+02     1.572778e+00-3.415150e-05j   5.839548e+02+1.380029e+03j            8.774551e+02          
    -1.72773e+02     1.585387e+00-3.475254e-05j   5.911615e+02+1.389198e+03j            8.762596e+02          
    -1.72372e+02     1.598068e+00-3.534027e-05j   5.984321e+02+1.398413e+03j            8.750725e+02          
    -1.71972e+02     1.610821e+00-3.591445e-05j   6.057670e+02+1.407674e+03j            8.738940e+02          
    -1.71572e+02     1.623646e+00-3.647487e-05j   6.131666e+02+1.416981e+03j            8.727240e+02          
    -1.71171e+02     1.636542e+00-3.702127e-05j   6.206313e+02+1.426335e+03j            8.715624e+02          
    -1.70771e+02     1.649511e+00-3.755346e-05j   6.281614e+02+1.435735e+03j            8.704091e+02          
    -1.70370e+02     1.662551e+00-3.807119e-05j   6.357572e+02+1.445182e+03j            8.692641e+02          
    -1.69970e+02     1.675664e+00-3.857428e-05j   6.434191e+02+1.454675e+03j            8.681275e+02          
    -1.69570e+02     1.688848e+00-3.906251e-05j   6.511476e+02+1.464215e+03j            8.669990e+02          
    -1.69169e+02     1.702106e+00-3.953568e-05j   6.589429e+02+1.473802e+03j            8.658788e+02          
    -1.68769e+02     1.715435e+00-3.999359e-05j   6.668054e+02+1.483435e+03j            8.647666e+02          
    -1.68368e+02     1.728837e+00-4.043607e-05j   6.747354e+02+1.493116e+03j            8.636626e+02          
    -1.67968e+02     1.742311e+00-4.086292e-05j   6.827334e+02+1.502843e+03j            8.625666e+02          
    -1.67568e+02     1.755858e+00-4.127397e-05j   6.907997e+02+1.512618e+03j            8.614786e+02          
    -1.67167e+02     1.769477e+00-4.166905e-05j   6.989346e+02+1.522439e+03j            8.603985e+02          
    -1.66767e+02     1.783170e+00-4.204801e-05j   7.071385e+02+1.532308e+03j            8.593264e+02          
    -1.66366e+02     1.796935e+00-4.241067e-05j   7.154117e+02+1.542224e+03j            8.582622e+02          
    -1.65966e+02     1.810772e+00-4.275689e-05j   7.237547e+02+1.552187e+03j            8.572057e+02          
    -1.65566e+02     1.824683e+00-4.308652e-05j   7.321677e+02+1.562198e+03j            8.561571e+02          
    -1.65165e+02     1.838666e+00-4.339944e-05j   7.406512e+02+1.572256e+03j            8.551162e+02          
    -1.64765e+02     1.852723e+00-4.369549e-05j   7.492054e+02+1.582361e+03j            8.540830e+02          
    -1.64364e+02     1.866852e+00-4.397457e-05j   7.578307e+02+1.592514e+03j            8.530575e+02          
    -1.63964e+02     1.881054e+00-4.423654e-05j   7.665276e+02+1.602715e+03j            8.520397e+02          
    -1.63564e+02     1.895329e+00-4.448130e-05j   7.752962e+02+1.612963e+03j            8.510294e+02          
    -1.63163e+02     1.909678e+00-4.470875e-05j   7.841371e+02+1.623259e+03j            8.500266e+02          
    -1.62763e+02     1.924099e+00-4.491878e-05j   7.930504e+02+1.633602e+03j            8.490314e+02          
    -1.62362e+02     1.938594e+00-4.511130e-05j   8.020367e+02+1.643993e+03j            8.480436e+02          
    -1.61962e+02     1.953161e+00-4.528624e-05j   8.110962e+02+1.654433e+03j            8.470633e+02          
    -1.61562e+02     1.967802e+00-4.544350e-05j   8.202292e+02+1.664919e+03j            8.460904e+02          
    -1.61161e+02     1.982516e+00-4.558302e-05j   8.294362e+02+1.675454e+03j            8.451249e+02          
    -1.60761e+02     1.997303e+00-4.570474e-05j   8.387175e+02+1.686037e+03j            8.441666e+02          
    -1.60360e+02     2.012163e+00-4.580859e-05j   8.480734e+02+1.696668e+03j            8.432157e+02          
