#       omega                  E                         P                            alpha             
     -2.00000e+02     3.532436e-01+8.274258e-06j   1.954879e+02+1.788045e+02j            5.061660e+02          
    -1.99600e+02     3.565172e-01+7.960187e-06j   1.977097e+02+1.803350e+02j            5.058117e+02          
    -1.99199e+02     3.598145e-01+7.642833e-06j   1.999533e+02+1.818758e+02j            5.054591e+02          
    -1.98799e+02     3.631356e-01+7.322317e-06j   2.022190e+02+1.834269e+02j            5.051084e+02          
    -1.98398e+02     3.664805e-01+6.998763e-06j   2.045068e+02+1.849884e+02j            5.047594e+02          
    -1.97998e+02     3.698494e-01+6.672296e-06j   2.068170e+02+1.865603e+02j            5.044123e+02          
    -1.97598e+02     3.732424e-01+6.343041e-06j   2.091497e+02+1.881427e+02j            5.040668e+02          
    -1.97197e+02     3.766596e-01+6.011127e-06j   2.115051e+02+1.897355e+02j            5.037232e+02          
    -1.96797e+02     3.801009e-01+5.676681e-06j   2.138834e+02+1.913389e+02j            5.033812e+02          
    -1.96396e+02     3.835667e-01+5.339832e-06j   2.162848e+02+1.929528e+02j            5.030410e+02          
    -1.95996e+02     3.870568e-01+5.000711e-06j   2.187094e+02+1.945773e+02j            5.027025e+02          
    -1.95596e+02     3.905716e-01+4.659450e-06j   2.211574e+02+1.962124e+02j            5.023658e+02          
    -1.95195e+02     3.941109e-01+4.316181e-06j   2.236290e+02+1.978582e+02j            5.020307e+02          
    -1.94795e+02     3.976749e-01+3.971036e-06j   2.261244e+02+1.995147e+02j            5.016973e+02          
    -1.94394e+02     4.012638e-01+3.624150e-06j   2.286438e+02+2.011819e+02j            5.013655e+02          
    -1.93994e+02     4.048775e-01+3.275657e-06j   2.311872e+02+2.028599e+02j            5.010355e+02          
    -1.93594e+02     4.085162e-01+2.925693e-06j   2.337550e+02+2.045486e+02j            5.007070e+02          
    -1.93193e+02     4.121800e-01+2.574395e-06j   2.363473e+02+2.062482e+02j            5.003803e+02          
    -1.92793e+02     4.158690e-01+2.221898e-06j   2.389643e+02+2.079587e+02j            5.000551e+02          
    -1.92392e+02     4.195832e-01+1.868341e-06j   2.416061e+02+2.096801e+02j            4.997316e+02          
    -1.91992e+02     4.233228e-01+1.513861e-06j   2.442730e+02+2.114124e+02j            4.994097e+02          
