#       omega                  E                         P                            alpha             
     -2.00000e+02     1.766218e-03+4.137129e-08j   9.653358e-01+6.819356e-01j            3.860866e+02          
    -1.99600e+02     1.782586e-03+3.980094e-08j   9.776054e-01+6.905522e-01j            3.873756e+02          
    -1.99199e+02     1.799072e-03+3.821416e-08j   9.883862e-01+6.994257e-01j            3.887585e+02          
    -1.98799e+02     1.815678e-03+3.661158e-08j   9.978390e-01+7.076031e-01j            3.897074e+02          
    -1.98398e+02     1.832403e-03+3.499381e-08j   1.006642e+00+7.143916e-01j            3.898556e+02          
    -1.97998e+02     1.849247e-03+3.336148e-08j   1.015749e+00+7.196081e-01j            3.891258e+02          
    -1.97598e+02     1.866212e-03+3.171521e-08j   1.026050e+00+7.236479e-01j            3.877536e+02          
    -1.97197e+02     1.883298e-03+3.005563e-08j   1.038053e+00+7.273445e-01j            3.861991e+02          
    -1.96797e+02     1.900505e-03+2.838340e-08j   1.051698e+00+7.316738e-01j            3.849810e+02          
    -1.96396e+02     1.917833e-03+2.669916e-08j   1.066377e+00+7.374041e-01j            3.844908e+02          
    -1.95996e+02     1.935284e-03+2.500356e-08j   1.081153e+00+7.448197e-01j            3.848560e+02          
    -1.95596e+02     1.952858e-03+2.329725e-08j   1.095089e+00+7.536175e-01j            3.858983e+02          
    -1.95195e+02     1.970554e-03+2.158090e-08j   1.107590e+00+7.630121e-01j            3.872007e+02          
    -1.94795e+02     1.988375e-03+1.985518e-08j   1.118615e+00+7.720160e-01j            3.882593e+02          
    -1.94394e+02     2.006319e-03+1.812075e-08j   1.128696e+00+7.797927e-01j            3.886633e+02          
    -1.93994e+02     2.024388e-03+1.637829e-08j   1.138749e+00+7.859571e-01j            3.882398e+02          
    -1.93594e+02     2.042581e-03+1.462847e-08j   1.149748e+00+7.907160e-01j            3.871120e+02          
    -1.93193e+02     2.060900e-03+1.287198e-08j   1.162378e+00+7.947967e-01j            3.856516e+02          
    -1.92793e+02     2.079345e-03+1.110949e-08j   1.176785e+00+7.991885e-01j            3.843433e+02          
