#       omega                  E                         P                            alpha             
    -1.92392e+02     2.097916e-03+9.341706e-09j   1.192524e+00+8.047891e-01j            3.836110e+02          
    -1.91992e+02     2.116614e-03+7.569304e-09j   1.208717e+00+8.120823e-01j            3.836685e+02          
    -1.91592e+02     2.135439e-03+5.792978e-09j   1.224363e+00+8.209628e-01j            3.844453e+02          
    -1.91191e+02     2.154391e-03+4.013422e-09j   1.238699e+00+8.307711e-01j            3.856165e+02          
    -1.90791e+02     2.173472e-03+2.231331e-09j   1.251474e+00+8.405274e-01j            3.867205e+02          
    -1.90390e+02     2.192681e-03+4.474001e-10j   1.263045e+00+8.492815e-01j            3.873255e+02          
    -1.89990e+02     2.212019e-03-1.337672e-09j   1.274247e+00+8.564542e-01j            3.871825e+02          
    -1.89590e+02     2.231486e-03-3.123186e-09j   1.286098e+00+8.620461e-01j            3.863112e+02          
    -1.89189e+02     2.251083e-03-4.908445e-09j   1.299439e+00+8.666406e-01j            3.849897e+02          
    -1.88789e+02     2.270809e-03-6.692748e-09j   1.314626e+00+8.711974e-01j            3.836523e+02          
    -1.88388e+02     2.290667e-03-8.475395e-09j   1.331404e+00+8.767098e-01j            3.827334e+02          
    -1.87988e+02     2.310655e-03-1.025569e-08j   1.348995e+00+8.838491e-01j            3.825128e+02          
    -1.87588e+02     2.330775e-03-1.203293e-08j   1.366375e+00+8.927221e-01j            3.830182e+02          
    -1.87187e+02     2.351026e-03-1.380642e-08j   1.382640e+00+9.028299e-01j            3.840188e+02          
    -1.86787e+02     2.371409e-03-1.557546e-08j   1.397332e+00+9.132445e-01j            3.851101e+02          
    -1.86386e+02     2.391925e-03-1.733935e-08j   1.410605e+00+9.229391e-01j            3.858605e+02          
    -1.85986e+02     2.412574e-03-1.909741e-08j   1.423173e+00+9.311563e-01j            3.859644e+02          
    -1.85586e+02     2.433356e-03-2.084893e-08j   1.436058e+00+9.376806e-01j            3.853497e+02          
    -1.85185e+02     2.454271e-03-2.259324e-08j   1.450224e+00+9.429189e-01j            3.842005e+02          
    -1.84785e+02     2.475321e-03-2.432963e-08j   1.466232e+00+9.477572e-01j            3.828884e+02          
    -1.84384e+02     2.496505e-03-2.605744e-08j   1.484038e+00+9.532451e-01j            3.818381e+02          
    -1.83984e+02     2.517823e-03-2.777596e-08j   1.503005e+00+9.602205e-01j            3.813759e+02          
    -1.83584e+02     2.539277e-03-2.948453e-08j   1.522128e+00+9.690078e-01j            3.816147e+02          
    -1.83183e+02     2.560866e-03-3.118248e-08j   1.540396e+00+9.792991e-01j            3.824166e+02          
    -1.82783e+02     2.582591e-03-3.286912e-08j   1.557153e+00+9.902616e-01j            3.834449e+02          
    -1.82382e+02     2.604452e-03-3.454378e-08j   1.572335e+00+1.000834e+00j            3.842860e+02          
    -1.81982e+02     2.626450e-03-3.620582e-08j   1.586499e+00+1.010105e+00j            3.845976e+02          
    -1.81582e+02     2.648584e-03-3.785457e-08j   1.600621e+00+1.017642e+00j            3.842297e+02          
    -1.81181e+02     2.670856e-03-3.948936e-08j   1.615756e+00+1.023649e+00j            3.832752e+02          
    -1.80781e+02     2.693265e-03-4.110957e-08j   1.632654e+00+1.028895e+00j            3.820345e+02          
    -1.80380e+02     2.715812e-03-4.271453e-08j   1.651493e+00+1.034443e+00j            3.809059e+02          
    -1.79980e+02     2.738497e-03-4.430362e-08j   1.671812e+00+1.041267e+00j            3.802430e+02          
    -1.79580e+02     2.761320e-03-4.587620e-08j   1.692674e+00+1.049907e+00j            3.802295e+02          
    -1.79179e+02     2.784283e-03-4.743165e-08j   1.712997e+00+1.060269e+00j            3.808155e+02          
    -1.78779e+02     2.807384e-03-4.896934e-08j   1.731949e+00+1.071656e+00j            3.817385e+02          
    -1.78378e+02     2.830624e-03-5.048866e-08j   1.749239e+00+1.083018e+00j            3.826186e+02          
    -1.77978e+02     2.854004e-03-5.198902e-08j   1.765231e+00+1.093324e+00j            3.830954e+02          
    -1.77578e+02     2.877524e-03-5.346979e-08j   1.780816e+00+1.101932e+00j            3.829558e+02          
    -1.77177e+02     2.901185e-03-5.493041e-08j   1.797093e+00+1.108822e+00j            3.822080e+02          
    -1.76777e+02     2.924985e-03-5.637027e-08j   1.814978e+00+1.114608e+00j            3.810764e+02          
    -1.76376e+02     2.948927e-03-5.778881e-08j   1.834875e+00+1.120318e+00j            3.799191e+02          
    -1.75976e+02     2.973009e-03-5.918546e-08j   1.856530e+00+1.127028e+00j            3.790990e+02          
    -1.75576e+02     2.997233e-03-6.055965e-08j   1.879115e+00+1.135478e+00j            3.788548e+02          
    -1.75175e+02     3.021598e-03-6.191083e-08j   1.901527e+00+1.145804e+00j            3.792176e+02          
    -1.74775e+02     3.046105e-03-6.323847e-08j   1.922781e+00+1.157485e+00j            3.800017e+02          
    -1.74374e+02     3.070754e-03-6.454203e-08j   1.942363e+00+1.169528e+00j            3.808734e+02          
    -1.73974e+02     3.095545e-03-6.582098e-08j   1.960419e+00+1.180820e+00j            3.814713e+02          
    -1.73574e+02     3.120479e-03-6.707480e-08j   1.977707e+00+1.190529e+00j            3.815348e+02          
    -1.73173e+02     3.145555e-03-6.830300e-08j   1.995325e+00+1.198402e+00j            3.809964e+02          
    -1.72773e+02     3.170775e-03-6.950507e-08j   2.014325e+00+1.204859e+00j            3.800029e+02          
    -1.72372e+02     3.196137e-03-7.068053e-08j   2.035331e+00+1.210848e+00j            3.788614e+02          
    -1.71972e+02     3.221643e-03-7.182891e-08j   2.058315e+00+1.217503e+00j            3.779281e+02          
    -1.71572e+02     3.247292e-03-7.294973e-08j   2.082604e+00+1.225744e+00j            3.774811e+02          
    -1.71171e+02     3.273085e-03-7.404255e-08j   2.107119e+00+1.235942e+00j            3.776222e+02          
    -1.70771e+02     3.299022e-03-7.510691e-08j   2.130760e+00+1.247782e+00j            3.782427e+02          
    -1.70370e+02     3.325102e-03-7.614239e-08j   2.152799e+00+1.260377e+00j            3.790640e+02          
    -1.69970e+02     3.351327e-03-7.714856e-08j   2.173148e+00+1.272579e+00j            3.797389e+02          
    -1.69570e+02     3.377697e-03-7.812501e-08j   2.192390e+00+1.283391e+00j            3.799753e+02          
    -1.69169e+02     3.404211e-03-7.907135e-08j   2.211576e+00+1.292324e+00j            3.796403e+02          
    -1.68769e+02     3.430870e-03-7.998718e-08j   2.231850e+00+1.299579e+00j            3.788052e+02          
    -1.68368e+02     3.457673e-03-8.087213e-08j   2.254042e+00+1.305974e+00j            3.777184e+02          
    -1.67968e+02     3.484622e-03-8.172583e-08j   2.278364e+00+1.312657e+00j            3.767152e+02          
    -1.67568e+02     3.511716e-03-8.254794e-08j   2.304337e+00+1.320693e+00j            3.760973e+02          
    -1.67167e+02     3.538955e-03-8.333811e-08j   2.330954e+00+1.330685e+00j            3.760262e+02          
    -1.66767e+02     3.566339e-03-8.409601e-08j   2.357043e+00+1.342552e+00j            3.764667e+02          
    -1.66366e+02     3.593869e-03-8.482134e-08j   2.381685e+00+1.355558e+00j            3.772018e+02          
    -1.65966e+02     3.621544e-03-8.551378e-08j   2.404546e+00+1.368565e+00j            3.779112e+02          
    -1.65566e+02     3.649366e-03-8.617305e-08j   2.425999e+00+1.380450e+00j            3.782869e+02          
    -1.65165e+02     3.677332e-03-8.679887e-08j   2.446998e+00+1.390497e+00j            3.781423e+02          
    -1.64765e+02     3.705445e-03-8.739098e-08j   2.468737e+00+1.398664e+00j            3.774776e+02          
    -1.64364e+02     3.733704e-03-8.794913e-08j   2.492222e+00+1.405598e+00j            3.764780e+02          
    -1.63964e+02     3.762108e-03-8.847308e-08j   2.517914e+00+1.412408e+00j            3.754457e+02          
    -1.63564e+02     3.790659e-03-8.896261e-08j   2.545555e+00+1.420269e+00j            3.746917e+02          
    -1.63163e+02     3.819356e-03-8.941750e-08j   2.574262e+00+1.429999e+00j            3.744243e+02          
    -1.62763e+02     3.848198e-03-8.983756e-08j   2.602838e+00+1.441769e+00j            3.746767e+02          
    -1.62362e+02     3.877187e-03-9.022261e-08j   2.630203e+00+1.455032e+00j            3.752962e+02          
    -1.61962e+02     3.906323e-03-9.057247e-08j   2.655778e+00+1.468718e+00j            3.760005e+02          
    -1.61562e+02     3.935604e-03-9.088700e-08j   2.679700e+00+1.481613e+00j            3.764798e+02          
    -1.61161e+02     3.965032e-03-9.116604e-08j   2.702777e+00+1.492798e+00j            3.765066e+02          
    -1.60761e+02     3.994605e-03-9.140948e-08j   2.726199e+00+1.501976e+00j            3.760166e+02          
    -1.60360e+02     4.024325e-03-9.161719e-08j   2.751119e+00+1.509582e+00j            3.751299e+02          
    -1.59960e+02     4.054192e-03-9.178907e-08j   2.778235e+00+1.516636e+00j            3.741063e+02          
    -1.59560e+02     4.084204e-03-9.192505e-08j   2.807538e+00+1.524374e+00j            3.732520e+02          
    -1.59159e+02     4.114362e-03-9.202504e-08j   2.838316e+00+1.533811e+00j            3.728098e+02          
    -1.58759e+02     4.144667e-03-9.208900e-08j   2.869399e+00+1.545371e+00j            3.728732e+02          
    -1.58358e+02     4.175118e-03-9.211687e-08j   2.899581e+00+1.558735e+00j            3.733546e+02          
    -1.57958e+02     4.205714e-03-9.210863e-08j   2.928054e+00+1.572949e+00j            3.740181e+02          
    -1.57558e+02     4.236457e-03-9.206426e-08j   2.954696e+00+1.586763e+00j            3.745647e+02          
    -1.57157e+02     4.267345e-03-9.198376e-08j   2.980125e+00+1.599078e+00j            3.747393e+02          
    -1.56757e+02     4.298380e-03-9.186714e-08j   3.005477e+00+1.609341e+00j            3.744213e+02          
    -1.56356e+02     4.329560e-03-9.171444e-08j   3.032005e+00+1.617746e+00j            3.736663e+02          
    -1.55956e+02     4.360885e-03-9.152569e-08j   3.060630e+00+1.625172e+00j            3.726849e+02          
    -1.55556e+02     4.392356e-03-9.130095e-08j   3.091608e+00+1.632866e+00j            3.717663e+02          
    -1.55155e+02     4.423972e-03-9.104029e-08j   3.124435e+00+1.642001e+00j            3.711745e+02          
    -1.54755e+02     4.455734e-03-9.074379e-08j   3.158024e+00+1.653257e+00j            3.710547e+02          
    -1.54354e+02     4.487641e-03-9.041155e-08j   3.191093e+00+1.666567e+00j            3.713825e+02          
    -1.53954e+02     4.519692e-03-9.004369e-08j   3.222623e+00+1.681144e+00j            3.719740e+02          
    -1.53554e+02     4.551889e-03-8.964033e-08j   3.252225e+00+1.695753e+00j            3.725523e+02          
    -1.53153e+02     4.584230e-03-8.920162e-08j   3.280288e+00+1.709155e+00j            3.728476e+02          
    -1.52753e+02     4.616715e-03-8.872770e-08j   3.307838e+00+1.720552e+00j            3.726925e+02          
    -1.52352e+02     4.649345e-03-8.821875e-08j   3.336182e+00+1.729872e+00j            3.720815e+02          
    -1.51952e+02     4.682119e-03-8.767494e-08j   3.366433e+00+1.737803e+00j            3.711709e+02          
    -1.51552e+02     4.715037e-03-8.709649e-08j   3.399117e+00+1.745551e+00j            3.702227e+02          
    -1.51151e+02     4.748098e-03-8.648359e-08j   3.433976e+00+1.754405e+00j            3.695096e+02          
    -1.50751e+02     4.781303e-03-8.583647e-08j   3.470060e+00+1.765283e+00j            3.692183e+02          
    -1.50350e+02     4.814652e-03-8.515536e-08j   3.506059e+00+1.778391e+00j            3.693836e+02          
    -1.49950e+02     4.848143e-03-8.444053e-08j   3.540779e+00+1.793153e+00j            3.698767e+02          
    -1.49550e+02     4.881777e-03-8.369223e-08j   3.573565e+00+1.808407e+00j            3.704530e+02          
    -1.49149e+02     4.915553e-03-8.291074e-08j   3.604542e+00+1.822821e+00j            3.708396e+02          
    -1.48749e+02     4.949472e-03-8.209636e-08j   3.634579e+00+1.835369e+00j            3.708333e+02          
    -1.48348e+02     4.983533e-03-8.124939e-08j   3.664976e+00+1.845700e+00j            3.703718e+02          
    -1.47948e+02     5.017735e-03-8.037014e-08j   3.697006e+00+1.854273e+00j            3.695555e+02          
    -1.47548e+02     5.052079e-03-7.945894e-08j   3.731455e+00+1.862189e+00j            3.686103e+02          
    -1.47147e+02     5.086564e-03-7.851615e-08j   3.768340e+00+1.870810e+00j            3.678058e+02          
    -1.46747e+02     5.121189e-03-7.754211e-08j   3.806895e+00+1.881261e+00j            3.673596e+02          
    -1.46346e+02     5.155955e-03-7.653719e-08j   3.845846e+00+1.894032e+00j            3.673596e+02          
    -1.45946e+02     5.190861e-03-7.550177e-08j   3.883861e+00+1.908798e+00j            3.677336e+02          
    -1.45546e+02     5.225907e-03-7.443626e-08j   3.920031e+00+1.924523e+00j            3.682766e+02          
    -1.45145e+02     5.261092e-03-7.334104e-08j   3.954200e+00+1.939837e+00j            3.687242e+02          
    -1.44745e+02     5.296417e-03-7.221654e-08j   3.987023e+00+1.953518e+00j            3.688479e+02          
    -1.44344e+02     5.331879e-03-7.106319e-08j   4.019741e+00+1.964935e+00j            3.685358e+02          
    -1.43944e+02     5.367481e-03-6.988143e-08j   4.053736e+00+1.974277e+00j            3.678318e+02          
    -1.43544e+02     5.403220e-03-6.867171e-08j   4.090041e+00+1.982493e+00j            3.669192e+02          
    -1.43143e+02     5.439096e-03-6.743449e-08j   4.128960e+00+1.990951e+00j            3.660539e+02          
    -1.42743e+02     5.475110e-03-6.617025e-08j   4.169964e+00+2.000955e+00j            3.654732e+02          
    -1.42342e+02     5.511260e-03-6.487947e-08j   4.211867e+00+2.013274e+00j            3.653110e+02          
    -1.41942e+02     5.547546e-03-6.356265e-08j   4.253253e+00+2.027860e+00j            3.655507e+02          
    -1.41542e+02     5.583968e-03-6.222029e-08j   4.292984e+00+2.043865e+00j            3.660324e+02          
    -1.41141e+02     5.620525e-03-6.085291e-08j   4.330607e+00+2.059935e+00j            3.665106e+02          
    -1.40741e+02     5.657217e-03-5.946104e-08j   4.366525e+00+2.074695e+00j            3.667424e+02          
    -1.40340e+02     5.694044e-03-5.804521e-08j   4.401857e+00+2.087242e+00j            3.665738e+02          
    -1.39940e+02     5.731004e-03-5.660598e-08j   4.438043e+00+2.097473e+00j            3.659946e+02          
    -1.39540e+02     5.768097e-03-5.514389e-08j   4.476327e+00+2.106124e+00j            3.651407e+02          
    -1.39139e+02     5.805324e-03-5.365952e-08j   4.517314e+00+2.114517e+00j            3.642448e+02          
    -1.38739e+02     5.842682e-03-5.215343e-08j   4.560744e+00+2.124084e+00j            3.635530e+02          
    -1.38338e+02     5.880172e-03-5.062621e-08j   4.605584e+00+2.135856e+00j            3.632369e+02          
    -1.37938e+02     5.917794e-03-4.907846e-08j   4.650391e+00+2.150089e+00j            3.633326e+02          
    -1.37538e+02     5.955546e-03-4.751076e-08j   4.693830e+00+2.166168e+00j            3.637291e+02          
    -1.37137e+02     5.993428e-03-4.592374e-08j   4.735155e+00+2.182820e+00j            3.642084e+02          
    -1.36737e+02     6.031440e-03-4.431801e-08j   4.774477e+00+2.198568e+00j            3.645237e+02          
    -1.36336e+02     6.069581e-03-4.269419e-08j   4.812738e+00+2.212257e+00j            3.644882e+02          
    -1.35936e+02     6.107850e-03-4.105291e-08j   4.851373e+00+2.223474e+00j            3.640408e+02          
    -1.35536e+02     6.146246e-03-3.939481e-08j   4.891800e+00+2.232701e+00j            3.632676e+02          
    -1.35135e+02     6.184770e-03-3.772054e-08j   4.934915e+00+2.241145e+00j            3.623701e+02          
    -1.34735e+02     6.223420e-03-3.603075e-08j   4.980761e+00+2.250314e+00j            3.615927e+02          
    -1.34334e+02     6.262197e-03-3.432611e-08j   5.028513e+00+2.261474e+00j            3.611355e+02          
    -1.33934e+02     6.301098e-03-3.260726e-08j   5.076763e+00+2.275193e+00j            3.610830e+02          
    -1.33534e+02     6.340123e-03-3.087490e-08j   5.124029e+00+2.291135e+00j            3.613747e+02          
    -1.33133e+02     6.379273e-03-2.912968e-08j   5.169278e+00+2.308169e+00j            3.618270e+02          
    -1.32733e+02     6.418545e-03-2.737230e-08j   5.212311e+00+2.324775e+00j            3.622000e+02          
    -1.32332e+02     6.457941e-03-2.560344e-08j   5.253832e+00+2.339581e+00j            3.622829e+02          
    -1.31932e+02     6.497457e-03-2.382380e-08j   5.295209e+00+2.351861e+00j            3.619693e+02          
    -1.31532e+02     6.537095e-03-2.203407e-08j   5.337982e+00+2.361799e+00j            3.612945e+02          
    -1.31131e+02     6.576853e-03-2.023495e-08j   5.383320e+00+2.370428e+00j            3.604223e+02          
    -1.30731e+02     6.616731e-03-1.842715e-08j   5.431589e+00+2.379268e+00j            3.595859e+02          
    -1.30330e+02     6.656727e-03-1.661137e-08j   5.482224e+00+2.389781e+00j            3.590044e+02          
    -1.29930e+02     6.696841e-03-1.478833e-08j   5.533920e+00+2.402845e+00j            3.588046e+02          
    -1.29530e+02     6.737073e-03-1.295875e-08j   5.585098e+00+2.418438e+00j            3.589762e+02          
    -1.29129e+02     6.777421e-03-1.112334e-08j   5.634472e+00+2.435634e+00j            3.593762e+02          
    -1.28729e+02     6.817884e-03-9.282830e-09j   5.681509e+00+2.452933e+00j            3.597803e+02          
    -1.28328e+02     6.858463e-03-7.437933e-09j   5.726633e+00+2.468792e+00j            3.599637e+02          
    -1.27928e+02     6.899155e-03-5.589380e-09j   5.771074e+00+2.482180e+00j            3.597810e+02          
    -1.27528e+02     6.939961e-03-3.737899e-09j   5.816439e+00+2.492954e+00j            3.592177e+02          
    -1.27127e+02     6.980879e-03-1.884217e-09j   5.864133e+00+2.501913e+00j            3.583954e+02          
    -1.26727e+02     7.021908e-03-2.906488e-11j   5.914858e+00+2.510521e+00j            3.575270e+02          
    -1.26326e+02     7.063048e-03+1.826826e-09j   5.968351e+00+2.520386e+00j            3.568409e+02          
    -1.25926e+02     7.104298e-03+3.682723e-09j   6.023477e+00+2.532681e+00j            3.564993e+02          
    -1.25526e+02     7.145657e-03+5.537896e-09j   6.078627e+00+2.547721e+00j            3.565405e+02          
    -1.25125e+02     7.187123e-03+7.391612e-09j   6.132294e+00+2.564843e+00j            3.568656e+02          
    -1.24725e+02     7.228697e-03+9.243139e-09j   6.183615e+00+2.582638e+00j            3.572746e+02          
    -1.24324e+02     7.270376e-03+1.109175e-08j   6.232689e+00+2.599445e+00j            3.575379e+02          
    -1.23924e+02     7.312161e-03+1.293670e-08j   6.280546e+00+2.613953e+00j            3.574787e+02          
    -1.23524e+02     7.354050e-03+1.477728e-08j   6.328788e+00+2.625671e+00j            3.570357e+02          
    -1.23123e+02     7.396043e-03+1.661275e-08j   6.379018e+00+2.635110e+00j            3.562846e+02          
    -1.22723e+02     7.438137e-03+1.844238e-08j   6.432263e+00+2.643609e+00j            3.554107e+02          
    -1.22322e+02     7.480333e-03+2.026545e-08j   6.488603e+00+2.652860e+00j            3.546423e+02          
    -1.21922e+02     7.522630e-03+2.208125e-08j   6.547134e+00+2.664301e+00j            3.541689e+02          
    -1.21522e+02     7.565025e-03+2.388904e-08j   6.606287e+00+2.678599e+00j            3.540740e+02          
    -1.21121e+02     7.607519e-03+2.568812e-08j   6.664386e+00+2.695406e+00j            3.543051e+02          
    -1.20721e+02     7.650110e-03+2.747776e-08j   6.720250e+00+2.713469e+00j            3.546935e+02          
    -1.20320e+02     7.692798e-03+2.925727e-08j   6.773621e+00+2.731080e+00j            3.550144e+02          
    -1.19920e+02     7.735581e-03+3.102593e-08j   6.825268e+00+2.746682e+00j            3.550676e+02          
    -1.19520e+02     7.778458e-03+3.278304e-08j   6.876715e+00+2.759429e+00j            3.547490e+02          
    -1.19119e+02     7.821428e-03+3.452790e-08j   6.929707e+00+2.769498e+00j            3.540872e+02          
    -1.18719e+02     7.864490e-03+3.625982e-08j   6.985577e+00+2.778032e+00j            3.532333e+02          
    -1.18318e+02     7.907643e-03+3.797811e-08j   7.044771e+00+2.786737e+00j            3.524063e+02          
    -1.17918e+02     7.950885e-03+3.968209e-08j   7.106680e+00+2.797276e+00j            3.518149e+02          
    -1.17518e+02     7.994217e-03+4.137107e-08j   7.169847e+00+2.810667e+00j            3.515828e+02          
    -1.17117e+02     8.037636e-03+4.304439e-08j   7.232488e+00+2.826914e+00j            3.517048e+02          
    -1.16717e+02     8.081142e-03+4.470138e-08j   7.293129e+00+2.844997e+00j            3.520489e+02          
    -1.16316e+02     8.124732e-03+4.634138e-08j   7.351140e+00+2.863230e+00j            3.524040e+02          
    -1.15916e+02     8.168407e-03+4.796373e-08j   7.406969e+00+2.879857e+00j            3.525551e+02          
    -1.15516e+02     8.212165e-03+4.956778e-08j   7.461990e+00+2.893689e+00j            3.523607e+02          
    -1.15115e+02     8.256005e-03+5.115291e-08j   7.518020e+00+2.904530e+00j            3.518026e+02          
    -1.14715e+02     8.299925e-03+5.271846e-08j   7.576668e+00+2.913260e+00j            3.509925e+02          
    -1.14314e+02     8.343925e-03+5.426382e-08j   7.638757e+00+2.921524e+00j            3.501319e+02          
    -1.13914e+02     8.388003e-03+5.578837e-08j   7.704023e+00+2.931152e+00j            3.494396e+02          
    -1.13514e+02     8.432158e-03+5.729150e-08j   7.771199e+00+2.943498e+00j            3.490737e+02          
    -1.13113e+02     8.476389e-03+5.877260e-08j   7.838464e+00+2.958952e+00j            3.490752e+02          
    -1.12713e+02     8.520694e-03+6.023109e-08j   7.904092e+00+2.976790e+00j            3.493535e+02          
    -1.12312e+02     8.565073e-03+6.166637e-08j   7.967076e+00+2.995426e+00j            3.497190e+02          
    -1.11912e+02     8.609523e-03+6.307788e-08j   8.027495e+00+3.012970e+00j            3.499510e+02          
    -1.11512e+02     8.654044e-03+6.446505e-08j   8.086496e+00+3.027909e+00j            3.498767e+02          
    -1.11111e+02     8.698635e-03+6.582731e-08j   8.145894e+00+3.039651e+00j            3.494329e+02          
    -1.10711e+02     8.743294e-03+6.716412e-08j   8.207527e+00+3.048749e+00j            3.486884e+02          
    -1.10310e+02     8.788019e-03+6.847495e-08j   8.272591e+00+3.056708e+00j            3.478194e+02          
    -1.09910e+02     8.832811e-03+6.975927e-08j   8.341212e+00+3.065457e+00j            3.470460e+02          
    -1.09510e+02     8.877666e-03+7.101655e-08j   8.412386e+00+3.076657e+00j            3.465539e+02          
    -1.09109e+02     8.922584e-03+7.224630e-08j   8.484334e+00+3.091101e+00j            3.464280e+02          
    -1.08709e+02     8.967564e-03+7.344801e-08j   8.555134e+00+3.108422e+00j            3.466216e+02          
    -1.08308e+02     9.012604e-03+7.462120e-08j   8.623411e+00+3.127211e+00j            3.469741e+02          
    -1.07908e+02     9.057702e-03+7.576540e-08j   8.688837e+00+3.145520e+00j            3.472677e+02          
    -1.07508e+02     9.102858e-03+7.688015e-08j   8.752261e+00+3.161550e+00j            3.473059e+02          
    -1.07107e+02     9.148070e-03+7.796498e-08j   8.815416e+00+3.174303e+00j            3.469834e+02          
    -1.06707e+02     9.193337e-03+7.901947e-08j   8.880302e+00+3.183948e+00j            3.463238e+02          
    -1.06306e+02     9.238656e-03+8.004319e-08j   8.948473e+00+3.191769e+00j            3.454713e+02          
    -1.05906e+02     9.284028e-03+8.103571e-08j   9.020475e+00+3.199716e+00j            3.446390e+02          
    -1.05506e+02     9.329450e-03+8.199664e-08j   9.095640e+00+3.209712e+00j            3.440323e+02          
    -1.05105e+02     9.374921e-03+8.292559e-08j   9.172315e+00+3.222954e+00j            3.437760e+02          
    -1.04705e+02     9.420439e-03+8.382217e-08j   9.248448e+00+3.239483e+00j            3.438694e+02          
    -1.04304e+02     9.466003e-03+8.468602e-08j   9.322323e+00+3.258155e+00j            3.441866e+02          
    -1.03904e+02     9.511612e-03+8.551679e-08j   9.393184e+00+3.277037e+00j            3.445213e+02          
    -1.03504e+02     9.557264e-03+8.631414e-08j   9.461511e+00+3.294102e+00j            3.446610e+02          
    -1.03103e+02     9.602958e-03+8.707773e-08j   9.528867e+00+3.307949e+00j            3.444629e+02          
    -1.02703e+02     9.648692e-03+8.780726e-08j   9.597344e+00+3.318319e+00j            3.439048e+02          
    -1.02302e+02     9.694464e-03+8.850243e-08j   9.668817e+00+3.326194e+00j            3.430934e+02          
    -1.01902e+02     9.740273e-03+8.916295e-08j   9.744271e+00+3.333462e+00j            3.422258e+02          
    -1.01502e+02     9.786118e-03+8.978854e-08j   9.823437e+00+3.342242e+00j            3.415197e+02          
    -1.01101e+02     9.831997e-03+9.037895e-08j   9.904874e+00+3.354126e+00j            3.411347e+02          
    -1.00701e+02     9.877908e-03+9.093393e-08j   9.986483e+00+3.369602e+00j            3.411158e+02          
    -1.00300e+02     9.923850e-03+9.145324e-08j   1.006625e+01+3.387865e+00j            3.413768e+02          
    -9.98999e+01     9.969822e-03+9.193668e-08j   1.014298e+01+3.407093e+00j            3.417312e+02          
    -9.94995e+01     1.001582e-02+9.238403e-08j   1.021672e+01+3.425095e+00j            3.419590e+02          
    -9.90991e+01     1.006185e-02+9.279512e-08j   1.028879e+01+3.440090e+00j            3.418851e+02          
    -9.86987e+01     1.010790e-02+9.316975e-08j   1.036127e+01+3.451358e+00j            3.414422e+02          
    -9.82983e+01     1.015397e-02+9.350778e-08j   1.043632e+01+3.459504e+00j            3.406951e+02          
    -9.78979e+01     1.020007e-02+9.380906e-08j   1.051535e+01+3.466259e+00j            3.398176e+02          
    -9.74975e+01     1.024618e-02+9.407345e-08j   1.059856e+01+3.473865e+00j            3.390305e+02          
    -9.70971e+01     1.029231e-02+9.430083e-08j   1.068480e+01+3.484278e+00j            3.385226e+02          
    -9.66967e+01     1.033846e-02+9.449112e-08j   1.077202e+01+3.498459e+00j            3.383831e+02          
    -9.62963e+01     1.038463e-02+9.464421e-08j   1.085796e+01+3.516015e+00j            3.385693e+02          
    -9.58959e+01     1.043080e-02+9.476003e-08j   1.094100e+01+3.535330e+00j            3.389221e+02          
    -9.54955e+01     1.047699e-02+9.483853e-08j   1.102071e+01+3.554130e+00j            3.392223e+02          
    -9.50951e+01     1.052319e-02+9.487967e-08j   1.109806e+01+3.570295e+00j            3.392692e+02          
