#       omega                  E                         P                            alpha             
     -2.00000e+02     1.766218e-01+4.137129e-06j   9.711708e+01+7.364206e+01j            4.169349e+02          
    -1.99600e+02     1.782586e-01+3.980094e-06j   9.823325e+01+7.429638e+01j            4.167776e+02          
    -1.99199e+02     1.799072e-01+3.821416e-06j   9.936076e+01+7.495476e+01j            4.166183e+02          
    -1.98799e+02     1.815678e-01+3.661158e-06j   1.004998e+02+7.561742e+01j            4.164582e+02          
    -1.98398e+02     1.832403e-01+3.499381e-06j   1.016506e+02+7.628465e+01j            4.162989e+02          
    -1.97998e+02     1.849247e-01+3.336148e-06j   1.028130e+02+7.695668e+01j            4.161414e+02          
    -1.97598e+02     1.866212e-01+3.171521e-06j   1.039868e+02+7.763361e+01j            4.159862e+02          
    -1.97197e+02     1.883298e-01+3.005563e-06j   1.051719e+02+7.831539e+01j            4.158329e+02          
    -1.96797e+02     1.900505e-01+2.838340e-06j   1.063682e+02+7.900185e+01j            4.156804e+02          
    -1.96396e+02     1.917833e-01+2.669916e-06j   1.075758e+02+7.969272e+01j            4.155273e+02          
    -1.95996e+02     1.935284e-01+2.500356e-06j   1.087948e+02+8.038778e+01j            4.153724e+02          
    -1.95596e+02     1.952858e-01+2.329725e-06j   1.100257e+02+8.108693e+01j            4.152152e+02          
    -1.95195e+02     1.970554e-01+2.158090e-06j   1.112687e+02+8.179021e+01j            4.150557e+02          
    -1.94795e+02     1.988375e-01+1.985518e-06j   1.125241e+02+8.249781e+01j            4.148951e+02          
    -1.94394e+02     2.006319e-01+1.812075e-06j   1.137922e+02+8.321002e+01j            4.147347e+02          
    -1.93994e+02     2.024388e-01+1.637829e-06j   1.150729e+02+8.392709e+01j            4.145756e+02          
    -1.93594e+02     2.042581e-01+1.462847e-06j   1.163660e+02+8.464919e+01j            4.144186e+02          
    -1.93193e+02     2.060900e-01+1.287198e-06j   1.176714e+02+8.537631e+01j            4.142635e+02          
    -1.92793e+02     2.079345e-01+1.110949e-06j   1.189889e+02+8.610830e+01j            4.141096e+02          
    -1.92392e+02     2.097916e-01+9.341706e-07j   1.203187e+02+8.684493e+01j            4.139555e+02          
    -1.91992e+02     2.116614e-01+7.569304e-07j   1.216607e+02+8.758593e+01j            4.138000e+02          
    -1.91592e+02     2.135439e-01+5.792978e-07j   1.230154e+02+8.833114e+01j            4.136424e+02          
    -1.91191e+02     2.154391e-01+4.013422e-07j   1.243832e+02+8.908056e+01j            4.134825e+02          
    -1.90791e+02     2.173472e-01+2.231331e-07j   1.257642e+02+8.983433e+01j            4.133212e+02          
    -1.90390e+02     2.192681e-01+4.474001e-08j   1.271589e+02+9.059272e+01j            4.131595e+02          
    -1.89990e+02     2.212019e-01-1.337672e-07j   1.285671e+02+9.135601e+01j            4.129987e+02          
    -1.89590e+02     2.231486e-01-3.123186e-07j   1.299889e+02+9.212441e+01j            4.128397e+02          
    -1.89189e+02     2.251083e-01-4.908445e-07j   1.314240e+02+9.289797e+01j            4.126826e+02          
    -1.88789e+02     2.270809e-01-6.692748e-07j   1.328723e+02+9.367659e+01j            4.125268e+02          
    -1.88388e+02     2.290667e-01-8.475395e-07j   1.343337e+02+9.446003e+01j            4.123713e+02          
    -1.87988e+02     2.310655e-01-1.025569e-06j   1.358084e+02+9.524802e+01j            4.122148e+02          
    -1.87588e+02     2.330775e-01-1.203293e-06j   1.372966e+02+9.604036e+01j            4.120565e+02          
    -1.87187e+02     2.351026e-01-1.380642e-06j   1.387987e+02+9.683698e+01j            4.118959e+02          
    -1.86787e+02     2.371409e-01-1.557546e-06j   1.403151e+02+9.763798e+01j            4.117337e+02          
    -1.86386e+02     2.391925e-01-1.733935e-06j   1.418460e+02+9.844358e+01j            4.115707e+02          
    -1.85986e+02     2.412574e-01-1.909741e-06j   1.433916e+02+9.925409e+01j            4.114081e+02          
    -1.85586e+02     2.433356e-01-2.084893e-06j   1.449518e+02+1.000697e+02j            4.112469e+02          
    -1.85185e+02     2.454271e-01-2.259324e-06j   1.465264e+02+1.008907e+02j            4.110875e+02          
    -1.84785e+02     2.475321e-01-2.432963e-06j   1.481153e+02+1.017168e+02j            4.109296e+02          
    -1.84384e+02     2.496505e-01-2.605744e-06j   1.497184e+02+1.025479e+02j            4.107723e+02          
    -1.83984e+02     2.517823e-01-2.777596e-06j   1.513357e+02+1.033838e+02j            4.106144e+02          
    -1.83584e+02     2.539277e-01-2.948453e-06j   1.529675e+02+1.042241e+02j            4.104549e+02          
    -1.83183e+02     2.560866e-01-3.118248e-06j   1.546141e+02+1.050688e+02j            4.102935e+02          
    -1.82783e+02     2.582591e-01-3.286912e-06j   1.562759e+02+1.059179e+02j            4.101301e+02          
    -1.82382e+02     2.604452e-01-3.454378e-06j   1.579533e+02+1.067715e+02j            4.099656e+02          
    -1.81982e+02     2.626450e-01-3.620582e-06j   1.596465e+02+1.076300e+02j            4.098012e+02          
    -1.81582e+02     2.648584e-01-3.785457e-06j   1.613553e+02+1.084937e+02j            4.096377e+02          
    -1.81181e+02     2.670856e-01-3.948936e-06j   1.630797e+02+1.093627e+02j            4.094759e+02          
    -1.80781e+02     2.693265e-01-4.110957e-06j   1.648195e+02+1.102370e+02j            4.093156e+02          
    -1.80380e+02     2.715812e-01-4.271453e-06j   1.665746e+02+1.111165e+02j            4.091561e+02          
    -1.79980e+02     2.738497e-01-4.430362e-06j   1.683450e+02+1.120008e+02j            4.089965e+02          
    -1.79580e+02     2.761320e-01-4.587620e-06j   1.701309e+02+1.128898e+02j            4.088356e+02          
    -1.79179e+02     2.784283e-01-4.743165e-06j   1.719325e+02+1.137832e+02j            4.086729e+02          
    -1.78779e+02     2.807384e-01-4.896934e-06j   1.737504e+02+1.146809e+02j            4.085083e+02          
    -1.78378e+02     2.830624e-01-5.048866e-06j   1.755848e+02+1.155832e+02j            4.083423e+02          
    -1.77978e+02     2.854004e-01-5.198902e-06j   1.774360e+02+1.164903e+02j            4.081759e+02          
    -1.77578e+02     2.877524e-01-5.346979e-06j   1.793042e+02+1.174026e+02j            4.080101e+02          
    -1.77177e+02     2.901185e-01-5.493041e-06j   1.811891e+02+1.183201e+02j            4.078457e+02          
    -1.76777e+02     2.924985e-01-5.637027e-06j   1.830905e+02+1.192431e+02j            4.076828e+02          
    -1.76376e+02     2.948927e-01-5.778881e-06j   1.850085e+02+1.201713e+02j            4.075210e+02          
    -1.75976e+02     2.973009e-01-5.918546e-06j   1.869428e+02+1.211046e+02j            4.073593e+02          
    -1.75576e+02     2.997233e-01-6.055965e-06j   1.888936e+02+1.220425e+02j            4.071967e+02          
    -1.75175e+02     3.021598e-01-6.191083e-06j   1.908612e+02+1.229850e+02j            4.070325e+02          
    -1.74775e+02     3.046105e-01-6.323847e-06j   1.928461e+02+1.239318e+02j            4.068665e+02          
    -1.74374e+02     3.070754e-01-6.454203e-06j   1.948485e+02+1.248831e+02j            4.066988e+02          
    -1.73974e+02     3.095545e-01-6.582098e-06j   1.968689e+02+1.258392e+02j            4.065305e+02          
