#       omega                  E                         P                            alpha             
    -1.73574e+02     3.120479e-01-6.707480e-06j   1.989074e+02+1.268002e+02j            4.063623e+02          
    -1.73173e+02     3.145555e-01-6.830300e-06j   2.009638e+02+1.277666e+02j            4.061953e+02          
    -1.72773e+02     3.170775e-01-6.950507e-06j   2.030381e+02+1.287384e+02j            4.060297e+02          
    -1.72372e+02     3.196137e-01-7.068053e-06j   2.051300e+02+1.297155e+02j            4.058652e+02          
    -1.71972e+02     3.221643e-01-7.182891e-06j   2.072395e+02+1.306978e+02j            4.057012e+02          
    -1.71572e+02     3.247292e-01-7.294973e-06j   2.093666e+02+1.316849e+02j            4.055367e+02          
    -1.71171e+02     3.273085e-01-7.404255e-06j   2.115116e+02+1.326765e+02j            4.053708e+02          
    -1.70771e+02     3.299022e-01-7.510691e-06j   2.136748e+02+1.336725e+02j            4.052031e+02          
    -1.70370e+02     3.325102e-01-7.614239e-06j   2.158567e+02+1.346729e+02j            4.050338e+02          
    -1.69970e+02     3.351327e-01-7.714856e-06j   2.180577e+02+1.356780e+02j            4.048634e+02          
    -1.69570e+02     3.377697e-01-7.812501e-06j   2.202779e+02+1.366879e+02j            4.046930e+02          
    -1.69169e+02     3.404211e-01-7.907135e-06j   2.225174e+02+1.377031e+02j            4.045233e+02          
    -1.68769e+02     3.430870e-01-7.998718e-06j   2.247760e+02+1.387236e+02j            4.043548e+02          
    -1.68368e+02     3.457673e-01-8.087213e-06j   2.270535e+02+1.397496e+02j            4.041876e+02          
    -1.67968e+02     3.484622e-01-8.172583e-06j   2.293497e+02+1.407807e+02j            4.040211e+02          
    -1.67568e+02     3.511716e-01-8.254794e-06j   2.316648e+02+1.418167e+02j            4.038544e+02          
    -1.67167e+02     3.538955e-01-8.333811e-06j   2.339989e+02+1.428574e+02j            4.036866e+02          
    -1.66767e+02     3.566339e-01-8.409601e-06j   2.363522e+02+1.439024e+02j            4.035172e+02          
    -1.66366e+02     3.593869e-01-8.482134e-06j   2.387254e+02+1.449517e+02j            4.033461e+02          
    -1.65966e+02     3.621544e-01-8.551378e-06j   2.411188e+02+1.460055e+02j            4.031737e+02          
    -1.65566e+02     3.649366e-01-8.617305e-06j   2.435326e+02+1.470640e+02j            4.030010e+02          
    -1.65165e+02     3.677332e-01-8.679887e-06j   2.459670e+02+1.481277e+02j            4.028286e+02          
    -1.64765e+02     3.705445e-01-8.739098e-06j   2.484218e+02+1.491966e+02j            4.026574e+02          
    -1.64364e+02     3.733704e-01-8.794913e-06j   2.508968e+02+1.502709e+02j            4.024874e+02          
    -1.63964e+02     3.762108e-01-8.847308e-06j   2.533919e+02+1.513505e+02j            4.023182e+02          
    -1.63564e+02     3.790659e-01-8.896261e-06j   2.559070e+02+1.524350e+02j            4.021492e+02          
    -1.63163e+02     3.819356e-01-8.941750e-06j   2.584422e+02+1.535242e+02j            4.019793e+02          
    -1.62763e+02     3.848198e-01-8.983756e-06j   2.609979e+02+1.546176e+02j            4.018081e+02          
    -1.62362e+02     3.877187e-01-9.022261e-06j   2.635745e+02+1.557153e+02j            4.016351e+02          
    -1.61962e+02     3.906323e-01-9.057247e-06j   2.661725e+02+1.568174e+02j            4.014608e+02          
    -1.61562e+02     3.935604e-01-9.088700e-06j   2.687921e+02+1.579240e+02j            4.012858e+02          
    -1.61161e+02     3.965032e-01-9.116604e-06j   2.714336e+02+1.590355e+02j            4.011109e+02          
    -1.60761e+02     3.994605e-01-9.140948e-06j   2.740969e+02+1.601522e+02j            4.009369e+02          
    -1.60360e+02     4.024325e-01-9.161719e-06j   2.767817e+02+1.612742e+02j            4.007640e+02          
    -1.59960e+02     4.054192e-01-9.178907e-06j   2.794880e+02+1.624014e+02j            4.005922e+02          
    -1.59560e+02     4.084204e-01-9.192505e-06j   2.822155e+02+1.635336e+02j            4.004206e+02          
    -1.59159e+02     4.114362e-01-9.202504e-06j   2.849644e+02+1.646704e+02j            4.002487e+02          
    -1.58759e+02     4.144667e-01-9.208900e-06j   2.877349e+02+1.658116e+02j            4.000755e+02          
    -1.58358e+02     4.175118e-01-9.211687e-06j   2.905275e+02+1.669569e+02j            3.999008e+02          
    -1.57958e+02     4.205714e-01-9.210863e-06j   2.933426e+02+1.681063e+02j            3.997245e+02          
    -1.57558e+02     4.236457e-01-9.206426e-06j   2.961807e+02+1.692601e+02j            3.995474e+02          
    -1.57157e+02     4.267345e-01-9.198376e-06j   2.990419e+02+1.704185e+02j            3.993701e+02          
    -1.56757e+02     4.298380e-01-9.186714e-06j   3.019262e+02+1.715820e+02j            3.991934e+02          
    -1.56356e+02     4.329560e-01-9.171444e-06j   3.048335e+02+1.727506e+02j            3.990177e+02          
    -1.55956e+02     4.360885e-01-9.152569e-06j   3.077637e+02+1.739244e+02j            3.988431e+02          
    -1.55556e+02     4.392356e-01-9.130095e-06j   3.107164e+02+1.751032e+02j            3.986691e+02          
    -1.55155e+02     4.423972e-01-9.104029e-06j   3.136918e+02+1.762866e+02j            3.984950e+02          
    -1.54755e+02     4.455734e-01-9.074379e-06j   3.166900e+02+1.774743e+02j            3.983199e+02          
    -1.54354e+02     4.487641e-01-9.041155e-06j   3.197115e+02+1.786660e+02j            3.981433e+02          
    -1.53954e+02     4.519692e-01-9.004369e-06j   3.227567e+02+1.798616e+02j            3.979653e+02          
    -1.53554e+02     4.551889e-01-8.964033e-06j   3.258261e+02+1.810614e+02j            3.977861e+02          
    -1.53153e+02     4.584230e-01-8.920162e-06j   3.289199e+02+1.822656e+02j            3.976066e+02          
    -1.52753e+02     4.616715e-01-8.872770e-06j   3.320383e+02+1.834745e+02j            3.974274e+02          
    -1.52352e+02     4.649345e-01-8.821875e-06j   3.351811e+02+1.846885e+02j            3.972491e+02          
    -1.51952e+02     4.682119e-01-8.767494e-06j   3.383482e+02+1.859074e+02j            3.970719e+02          
    -1.51552e+02     4.715037e-01-8.709649e-06j   3.415392e+02+1.871313e+02j            3.968954e+02          
    -1.51151e+02     4.748098e-01-8.648359e-06j   3.447543e+02+1.883598e+02j            3.967191e+02          
    -1.50751e+02     4.781303e-01-8.583647e-06j   3.479935e+02+1.895926e+02j            3.965421e+02          
    -1.50350e+02     4.814652e-01-8.515536e-06j   3.512571e+02+1.908292e+02j            3.963638e+02          
    -1.49950e+02     4.848143e-01-8.444053e-06j   3.545456e+02+1.920696e+02j            3.961841e+02          
    -1.49550e+02     4.881777e-01-8.369223e-06j   3.578596e+02+1.933138e+02j            3.960032e+02          
    -1.49149e+02     4.915553e-01-8.291074e-06j   3.611994e+02+1.945621e+02j            3.958216e+02          
    -1.48749e+02     4.949472e-01-8.209636e-06j   3.645651e+02+1.958149e+02j            3.956402e+02          
    -1.48348e+02     4.983533e-01-8.124939e-06j   3.679568e+02+1.970725e+02j            3.954595e+02          
    -1.47948e+02     5.017735e-01-8.037014e-06j   3.713741e+02+1.983350e+02j            3.952798e+02          
    -1.47548e+02     5.052079e-01-7.945894e-06j   3.748170e+02+1.996023e+02j            3.951010e+02          
    -1.47147e+02     5.086564e-01-7.851615e-06j   3.782852e+02+2.008741e+02j            3.949226e+02          
    -1.46747e+02     5.121189e-01-7.754211e-06j   3.817788e+02+2.021500e+02j            3.947438e+02          
    -1.46346e+02     5.155955e-01-7.653719e-06j   3.852982e+02+2.034297e+02j            3.945640e+02          
    -1.45946e+02     5.190861e-01-7.550177e-06j   3.888437e+02+2.047130e+02j            3.943829e+02          
    -1.45546e+02     5.225907e-01-7.443626e-06j   3.924160e+02+2.059999e+02j            3.942004e+02          
    -1.45145e+02     5.261092e-01-7.334104e-06j   3.960154e+02+2.072905e+02j            3.940171e+02          
    -1.44745e+02     5.296417e-01-7.221654e-06j   3.996422e+02+2.085853e+02j            3.938338e+02          
    -1.44344e+02     5.331879e-01-7.106319e-06j   4.032963e+02+2.098846e+02j            3.936509e+02          
    -1.43944e+02     5.367481e-01-6.988143e-06j   4.069777e+02+2.111885e+02j            3.934691e+02          
    -1.43544e+02     5.403220e-01-6.867171e-06j   4.106861e+02+2.124971e+02j            3.932882e+02          
    -1.43143e+02     5.439096e-01-6.743449e-06j   4.144214e+02+2.138101e+02j            3.931080e+02          
    -1.42743e+02     5.475110e-01-6.617025e-06j   4.181834e+02+2.151271e+02j            3.929276e+02          
    -1.42342e+02     5.511260e-01-6.487947e-06j   4.219725e+02+2.164478e+02j            3.927465e+02          
    -1.41942e+02     5.547546e-01-6.356265e-06j   4.257890e+02+2.177719e+02j            3.925641e+02          
    -1.41542e+02     5.583968e-01-6.222029e-06j   4.296336e+02+2.190992e+02j            3.923805e+02          
    -1.41141e+02     5.620525e-01-6.085291e-06j   4.335066e+02+2.204300e+02j            3.921959e+02          
    -1.40741e+02     5.657217e-01-5.946104e-06j   4.374084e+02+2.217646e+02j            3.920110e+02          
    -1.40340e+02     5.694044e-01-5.804521e-06j   4.413392e+02+2.231032e+02j            3.918265e+02          
    -1.39940e+02     5.731004e-01-5.660598e-06j   4.452987e+02+2.244463e+02j            3.916429e+02          
    -1.39540e+02     5.768097e-01-5.514389e-06j   4.492869e+02+2.257938e+02j            3.914603e+02          
    -1.39139e+02     5.805324e-01-5.365952e-06j   4.533033e+02+2.271456e+02j            3.912785e+02          
    -1.38739e+02     5.842682e-01-5.215343e-06j   4.573480e+02+2.285014e+02j            3.910968e+02          
    -1.38338e+02     5.880172e-01-5.062621e-06j   4.614212e+02+2.298606e+02j            3.909147e+02          
    -1.37938e+02     5.917794e-01-4.907846e-06j   4.655231e+02+2.312230e+02j            3.907316e+02          
    -1.37538e+02     5.955546e-01-4.751076e-06j   4.696543e+02+2.325884e+02j            3.905472e+02          
    -1.37137e+02     5.993428e-01-4.592374e-06j   4.738154e+02+2.339569e+02j            3.903618e+02          
    -1.36737e+02     6.031440e-01-4.431801e-06j   4.780068e+02+2.353288e+02j            3.901759e+02          
    -1.36336e+02     6.069581e-01-4.269419e-06j   4.822286e+02+2.367044e+02j            3.899903e+02          
    -1.35936e+02     6.107850e-01-4.105291e-06j   4.864808e+02+2.380840e+02j            3.898054e+02          
    -1.35536e+02     6.146246e-01-3.939481e-06j   4.907632e+02+2.394678e+02j            3.896215e+02          
    -1.35135e+02     6.184770e-01-3.772054e-06j   4.950755e+02+2.408558e+02j            3.894386e+02          
    -1.34735e+02     6.223420e-01-3.603075e-06j   4.994176e+02+2.422476e+02j            3.892561e+02          
    -1.34334e+02     6.262197e-01-3.432611e-06j   5.037896e+02+2.436427e+02j            3.890735e+02          
    -1.33934e+02     6.301098e-01-3.260726e-06j   5.081917e+02+2.450408e+02j            3.888901e+02          
    -1.33534e+02     6.340123e-01-3.087490e-06j   5.126245e+02+2.464416e+02j            3.887055e+02          
    -1.33133e+02     6.379273e-01-2.912968e-06j   5.170885e+02+2.478451e+02j            3.885199e+02          
    -1.32733e+02     6.418545e-01-2.737230e-06j   5.215843e+02+2.492516e+02j            3.883337e+02          
    -1.32332e+02     6.457941e-01-2.560344e-06j   5.261121e+02+2.506613e+02j            3.881476e+02          
    -1.31932e+02     6.497457e-01-2.382380e-06j   5.306719e+02+2.520747e+02j            3.879621e+02          
    -1.31532e+02     6.537095e-01-2.203407e-06j   5.352636e+02+2.534921e+02j            3.877776e+02          
    -1.31131e+02     6.576853e-01-2.023495e-06j   5.398869e+02+2.549133e+02j            3.875942e+02          
    -1.30731e+02     6.616731e-01-1.842715e-06j   5.445415e+02+2.563382e+02j            3.874115e+02          
    -1.30330e+02     6.656727e-01-1.661137e-06j   5.492275e+02+2.577664e+02j            3.872289e+02          
    -1.29930e+02     6.696841e-01-1.478833e-06j   5.539451e+02+2.591972e+02j            3.870459e+02          
    -1.29530e+02     6.737073e-01-1.295875e-06j   5.586948e+02+2.606306e+02j            3.868619e+02          
    -1.29129e+02     6.777421e-01-1.112334e-06j   5.634772e+02+2.620662e+02j            3.866769e+02          
    -1.28729e+02     6.817884e-01-9.282830e-07j   5.682928e+02+2.635044e+02j            3.864912e+02          
    -1.28328e+02     6.858463e-01-7.437933e-07j   5.731420e+02+2.649455e+02j            3.863054e+02          
    -1.27928e+02     6.899155e-01-5.589380e-07j   5.780249e+02+2.663898e+02j            3.861201e+02          
    -1.27528e+02     6.939961e-01-3.737899e-07j   5.829414e+02+2.678377e+02j            3.859358e+02          
    -1.27127e+02     6.980879e-01-1.884217e-07j   5.878912e+02+2.692892e+02j            3.857528e+02          
    -1.26727e+02     7.021908e-01-2.906488e-09j   5.928741e+02+2.707442e+02j            3.855707e+02          
    -1.26326e+02     7.063048e-01+1.826826e-07j   5.978900e+02+2.722022e+02j            3.853890e+02          
    -1.25926e+02     7.104298e-01+3.682723e-07j   6.029390e+02+2.736629e+02j            3.852071e+02          
    -1.25526e+02     7.145657e-01+5.537896e-07j   6.080216e+02+2.751257e+02j            3.850245e+02          
    -1.25125e+02     7.187123e-01+7.391612e-07j   6.131383e+02+2.765906e+02j            3.848410e+02          
    -1.24725e+02     7.228697e-01+9.243139e-07j   6.182897e+02+2.780575e+02j            3.846568e+02          
    -1.24324e+02     7.270376e-01+1.109175e-06j   6.234764e+02+2.795269e+02j            3.844724e+02          
    -1.23924e+02     7.312161e-01+1.293670e-06j   6.286985e+02+2.809991e+02j            3.842885e+02          
    -1.23524e+02     7.354050e-01+1.477728e-06j   6.339560e+02+2.824744e+02j            3.841055e+02          
    -1.23123e+02     7.396043e-01+1.661275e-06j   6.392487e+02+2.839531e+02j            3.839238e+02          
    -1.22723e+02     7.438137e-01+1.844238e-06j   6.445762e+02+2.854351e+02j            3.837433e+02          
    -1.22322e+02     7.480333e-01+2.026545e-06j   6.499384e+02+2.869201e+02j            3.835635e+02          
    -1.21922e+02     7.522630e-01+2.208125e-06j   6.553354e+02+2.884074e+02j            3.833839e+02          
    -1.21522e+02     7.565025e-01+2.388904e-06j   6.607674e+02+2.898968e+02j            3.832038e+02          
    -1.21121e+02     7.607519e-01+2.568812e-06j   6.662352e+02+2.913878e+02j            3.830231e+02          
    -1.20721e+02     7.650110e-01+2.747776e-06j   6.717393e+02+2.928805e+02j            3.828417e+02          
    -1.20320e+02     7.692798e-01+2.925727e-06j   6.772804e+02+2.943752e+02j            3.826600e+02          
    -1.19920e+02     7.735581e-01+3.102593e-06j   6.828586e+02+2.958722e+02j            3.824787e+02          
    -1.19520e+02     7.778458e-01+3.278304e-06j   6.884741e+02+2.973720e+02j            3.822983e+02          
    -1.19119e+02     7.821428e-01+3.452790e-06j   6.941266e+02+2.988749e+02j            3.821193e+02          
    -1.18719e+02     7.864490e-01+3.625982e-06j   6.998160e+02+3.003809e+02j            3.819417e+02          
    -1.18318e+02     7.907643e-01+3.797811e-06j   7.055418e+02+3.018896e+02j            3.817652e+02          
    -1.17918e+02     7.950885e-01+3.968209e-06j   7.113042e+02+3.034007e+02j            3.815891e+02          
    -1.17518e+02     7.994217e-01+4.137107e-06j   7.171034e+02+3.049135e+02j            3.814130e+02          
    -1.17117e+02     8.037636e-01+4.304439e-06j   7.229399e+02+3.064278e+02j            3.812364e+02          
    -1.16717e+02     8.081142e-01+4.470138e-06j   7.288144e+02+3.079435e+02j            3.810593e+02          
    -1.16316e+02     8.124732e-01+4.634138e-06j   7.347275e+02+3.094606e+02j            3.808820e+02          
    -1.15916e+02     8.168407e-01+4.796373e-06j   7.406798e+02+3.109797e+02j            3.807050e+02          
    -1.15516e+02     8.212165e-01+4.956778e-06j   7.466712e+02+3.125012e+02j            3.805289e+02          
    -1.15115e+02     8.256005e-01+5.115291e-06j   7.527018e+02+3.140254e+02j            3.803543e+02          
    -1.14715e+02     8.299925e-01+5.271846e-06j   7.587711e+02+3.155524e+02j            3.801813e+02          
    -1.14314e+02     8.343925e-01+5.426382e-06j   7.648790e+02+3.170822e+02j            3.800096e+02          
    -1.13914e+02     8.388003e-01+5.578837e-06j   7.710253e+02+3.186141e+02j            3.798389e+02          
    -1.13514e+02     8.432158e-01+5.729150e-06j   7.772103e+02+3.201478e+02j            3.796685e+02          
    -1.13113e+02     8.476389e-01+5.877260e-06j   7.834343e+02+3.216827e+02j            3.794980e+02          
    -1.12713e+02     8.520694e-01+6.023109e-06j   7.896982e+02+3.232186e+02j            3.793271e+02          
    -1.12312e+02     8.565073e-01+6.166637e-06j   7.960025e+02+3.247557e+02j            3.791561e+02          
    -1.11912e+02     8.609523e-01+6.307788e-06j   8.023478e+02+3.262943e+02j            3.789855e+02          
    -1.11512e+02     8.654044e-01+6.446505e-06j   8.087345e+02+3.278349e+02j            3.788158e+02          
    -1.11111e+02     8.698635e-01+6.582731e-06j   8.151625e+02+3.293779e+02j            3.786476e+02          
    -1.10711e+02     8.743294e-01+6.716412e-06j   8.216314e+02+3.309236e+02j            3.784813e+02          
    -1.10310e+02     8.788019e-01+6.847495e-06j   8.281411e+02+3.324719e+02j            3.783167e+02          
    -1.09910e+02     8.832811e-01+6.975927e-06j   8.346913e+02+3.340224e+02j            3.781535e+02          
    -1.09510e+02     8.877666e-01+7.101655e-06j   8.412821e+02+3.355745e+02j            3.779910e+02          
    -1.09109e+02     8.922584e-01+7.224630e-06j   8.479140e+02+3.371278e+02j            3.778288e+02          
    -1.08709e+02     8.967564e-01+7.344801e-06j   8.545876e+02+3.386819e+02j            3.776666e+02          
    -1.08308e+02     9.012604e-01+7.462120e-06j   8.613037e+02+3.402369e+02j            3.775044e+02          
    -1.07908e+02     9.057702e-01+7.576540e-06j   8.680629e+02+3.417931e+02j            3.773427e+02          
    -1.07508e+02     9.102858e-01+7.688015e-06j   8.748657e+02+3.433509e+02j            3.771820e+02          
    -1.07107e+02     9.148070e-01+7.796498e-06j   8.817121e+02+3.449108e+02j            3.770230e+02          
    -1.06707e+02     9.193337e-01+7.901947e-06j   8.886019e+02+3.464733e+02j            3.768661e+02          
    -1.06306e+02     9.238656e-01+8.004319e-06j   8.955349e+02+3.480383e+02j            3.767112e+02          
    -1.05906e+02     9.284028e-01+8.103571e-06j   9.025107e+02+3.496056e+02j            3.765582e+02          
    -1.05506e+02     9.329450e-01+8.199664e-06j   9.095294e+02+3.511746e+02j            3.764065e+02          
    -1.05105e+02     9.374921e-01+8.292559e-06j   9.165913e+02+3.527448e+02j            3.762556e+02          
    -1.04705e+02     9.420439e-01+8.382217e-06j   9.236970e+02+3.543157e+02j            3.761051e+02          
    -1.04304e+02     9.466003e-01+8.468602e-06j   9.308475e+02+3.558873e+02j            3.759549e+02          
    -1.03904e+02     9.511612e-01+8.551679e-06j   9.380434e+02+3.574599e+02j            3.758053e+02          
    -1.03504e+02     9.557264e-01+8.631414e-06j   9.452852e+02+3.590338e+02j            3.756569e+02          
    -1.03103e+02     9.602958e-01+8.707773e-06j   9.525733e+02+3.606097e+02j            3.755104e+02          
    -1.02703e+02     9.648692e-01+8.780726e-06j   9.599074e+02+3.621880e+02j            3.753662e+02          
    -1.02302e+02     9.694464e-01+8.850243e-06j   9.672874e+02+3.637689e+02j            3.752246e+02          
    -1.01902e+02     9.740273e-01+8.916295e-06j   9.747128e+02+3.653522e+02j            3.750853e+02          
    -1.01502e+02     9.786118e-01+8.978854e-06j   9.821837e+02+3.669375e+02j            3.749479e+02          
    -1.01101e+02     9.831997e-01+9.037895e-06j   9.897003e+02+3.685241e+02j            3.748120e+02          
    -1.00701e+02     9.877908e-01+9.093393e-06j   9.972631e+02+3.701116e+02j            3.746769e+02          
    -1.00300e+02     9.923850e-01+9.145324e-06j   1.004873e+03+3.716997e+02j            3.745426e+02          
    -9.98999e+01     9.969822e-01+9.193668e-06j   1.012531e+03+3.732887e+02j            3.744092e+02          
    -9.94995e+01     1.001582e+00+9.238403e-06j   1.020238e+03+3.748789e+02j            3.742773e+02          
    -9.90991e+01     1.006185e+00+9.279512e-06j   1.027993e+03+3.764710e+02j            3.741476e+02          
    -9.86987e+01     1.010790e+00+9.316975e-06j   1.035798e+03+3.780656e+02j            3.740205e+02          
    -9.82983e+01     1.015397e+00+9.350778e-06j   1.043652e+03+3.796629e+02j            3.738964e+02          
    -9.78979e+01     1.020007e+00+9.380906e-06j   1.051554e+03+3.812630e+02j            3.737754e+02          
    -9.74975e+01     1.024618e+00+9.407345e-06j   1.059504e+03+3.828653e+02j            3.736569e+02          
    -9.70971e+01     1.029231e+00+9.430083e-06j   1.067504e+03+3.844694e+02j            3.735406e+02          
    -9.66967e+01     1.033846e+00+9.449112e-06j   1.075552e+03+3.860747e+02j            3.734259e+02          
    -9.62963e+01     1.038463e+00+9.464421e-06j   1.083650e+03+3.876809e+02j            3.733125e+02          
    -9.58959e+01     1.043080e+00+9.476003e-06j   1.091799e+03+3.892880e+02j            3.732005e+02          
    -9.54955e+01     1.047699e+00+9.483853e-06j   1.099999e+03+3.908965e+02j            3.730904e+02          
    -9.50951e+01     1.052319e+00+9.487967e-06j   1.108252e+03+3.925069e+02j            3.729828e+02          
