-7.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
-7.299813780260707574e+01	9.470370173647192001e+09	5.702105190605923462e+10
-7.099627560521415148e+01	4.189875319022850037e+10	1.375230311731722412e+11
-6.899441340782122722e+01	1.024077757834618988e+11	2.471294145339463196e+11
-6.699255121042830297e+01	1.966293267895519104e+11	3.988794232351608276e+11
-6.499068901303537871e+01	3.340666880719414673e+11	6.161694318139978027e+11
-6.298882681564245445e+01	5.319515863944149170e+11	9.347726031725382080e+11
-6.098696461824953019e+01	8.187660103307590332e+11	1.404379484512866455e+12
-5.898510242085660593e+01	1.237079731852387207e+12	2.090546251125246582e+12
-5.698324022346368167e+01	1.845982226846552490e+12	3.077917235167545898e+12
-5.498137802607075741e+01	2.723825846917987793e+12	4.475125169199831055e+12
-5.297951582867783316e+01	3.972022619341265625e+12	6.421096738531482422e+12
-5.097765363128491600e+01	5.720244016060288086e+12	9.091908662417630859e+12
-4.897579143389199174e+01	8.132756769310493164e+12	1.270707046292623242e+13
-4.697392923649906749e+01	1.141506670927624414e+13	1.753418630014622852e+13
-4.497206703910614323e+01	1.581974842836934375e+13	2.389122189697194922e+13
-4.297020484171321897e+01	2.165035783946427734e+13	3.214585060704068750e+13
-4.096834264432029471e+01	2.926253951181855078e+13	4.271141364944047656e+13
-3.896648044692737045e+01	3.906165974727565625e+13	5.603889536937446875e+13
-3.696461824953444619e+01	5.149637811192657031e+13	7.260413030472317188e+13
-3.496275605214152193e+01	6.704750696071291406e+13	9.288943810426235938e+13
-3.296089385474859768e+01	8.621142823994737500e+13	1.173591881696339219e+14
-3.095903165735567342e+01	1.094774265991090156e+14	1.464294561547643750e+14
-2.895716945996274916e+01	1.372986972668492969e+14	1.804328310265473438e+14
-2.695530726256983201e+01	1.700575114562298125e+14	2.195803614882202812e+14
-2.495344506517690775e+01	2.080259528037370625e+14	2.639233988925699688e+14
-2.295158286778398349e+01	2.513245797285762188e+14	3.133185825580038750e+14
-2.094972067039105923e+01	2.998821317785790625e+14	3.673993968131807500e+14
-1.894785847299813497e+01	3.533998652259959375e+14	4.255576347855391875e+14
-1.694599627560521071e+01	4.113242413974590000e+14	4.869377554258506875e+14
-1.494413407821228645e+01	4.728315185358941250e+14	5.504465017154392500e+14
-1.294227188081936220e+01	5.368273331385696250e+14	6.147792154106256250e+14
-1.094040968342643794e+01	6.019635894770250000e+14	6.784630149670342500e+14
-8.938547486033513678e+00	6.666738790236867500e+14	7.399154552700160000e+14
-6.936685288640589420e+00	7.292272258739672500e+14	7.975156229460085000e+14
-4.934823091247665161e+00	7.877982788884475000e+14	8.496830844073272500e+14
-2.932960893854740902e+00	8.405503229387682500e+14	8.949589584387141250e+14
-9.310986964618166439e-01	8.857259088941173750e+14	9.320828361359467500e+14
1.070763500931107615e+00	9.217387623820333750e+14	9.600594122980142500e+14
3.072625698324031873e+00	9.472601203840406250e+14	9.782094959858453750e+14
5.074487895716956132e+00	9.612928478272591250e+14	9.862014118635180000e+14
7.076350093109880390e+00	9.632275709420947500e+14	9.840605169377856250e+14
9.078212290502804649e+00	9.528765071065633750e+14	9.721564563184976250e+14
1.108007448789572891e+01	9.304825006101750000e+14	9.511696881468078750e+14
1.308193668528865317e+01	8.967028046489175000e+14	9.220405478046930000e+14
1.508379888268157742e+01	8.525691975785975000e+14	8.859055240527076250e+14
1.708566108007450168e+01	7.994279037325943750e+14	8.440263296505186250e+14
1.908752327746742594e+01	7.388643267599120000e+14	7.977176558365016250e+14
2.108938547486033599e+01	6.726186347090493750e+14	7.482791721430900000e+14
2.309124767225326025e+01	6.024986459947321250e+14	6.969364378660106250e+14
2.509310986964618451e+01	5.302962184744083125e+14	6.447940877495907500e+14
2.709497206703910877e+01	4.577125026001703125e+14	5.928031551706940000e+14
2.909683426443203302e+01	3.862961357019823750e+14	5.417429169329428750e+14
3.109869646182495728e+01	3.173969332549079375e+14	4.922163567690381875e+14
3.310055865921788154e+01	2.521360845981288125e+14	4.446573543232828125e+14
3.510242085661080580e+01	1.913924570600500000e+14	3.993470521171331250e+14
3.710428305400373006e+01	1.358034658367110000e+14	3.564365287349888125e+14
3.910614525139665432e+01	8.577813115222003125e+13	3.159728827118871250e+14
4.110800744878957858e+01	4.151943181626248438e+13	2.779260676898264688e+14
4.310986964618250283e+01	3.052864600853220215e+12	2.422142636250282500e+14
4.511173184357542709e+01	-2.974179338613301562e+13	2.087261533276286562e+14
4.711359404096835135e+01	-5.709818858564999219e+13	1.773391142937743125e+14
4.911545623836127561e+01	-7.933271415596887500e+13	1.479329431242758750e+14
5.111731843575419987e+01	-9.681699023241935938e+13	1.203992282293802344e+14
5.311918063314712413e+01	-1.099544169973930000e+14	9.464683294969785938e+13
5.512104283054003417e+01	-1.191611678715855000e+14	7.060414292739642188e+13
5.712290502793297264e+01	-1.248515657387702344e+14	4.821879856568461719e+13
5.912476722532588269e+01	-1.274274970527412031e+14	2.745561974597072266e+13
6.112662942271882116e+01	-1.272713481236181406e+14	8.293373602543620117e+12
6.312849162011173121e+01	-1.247418621033803125e+14	-9.279042406735324219e+12
6.513035381750466968e+01	-1.201722855640571094e+14	-2.526652618430282812e+13
6.713221601489757973e+01	-1.138701852987534375e+14	-3.967144437523539062e+13
6.913407821229051820e+01	-1.061183661205068906e+14	-5.249682059160040625e+13
7.113594040968342824e+01	-9.717640791126196875e+13	-6.374893120393578906e+13
7.313780260707636671e+01	-8.728245592823753125e+13	-7.343930297268706250e+13
7.513966480446927676e+01	-7.665502264380243750e+13	-8.158616816743971875e+13
